"# of Use","# الاستخدام"
"Unable to get product id.","لا يمكن الحصول على الرمز التعريفي للمنتج."
"Unassigned Attributes","غير معين الصفات"
"Unique Value","قيمة نادرة"
"Unique Value (not shared with other products)","قيمة فريدة (لم يتم تقاسمها مع منتجات اخرى)"
"Unknown attribute: %s","سمة غير معروفة: %s"
"Up-sells","حتى يبيع"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","تحديث السمات"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","الموقع"
"Url Rewrite Management","ادارة اعادة كتابة الموقع"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","استخدام اعداد الاعدادات"
"Use Default Value","استخدام قيمة افتراضية"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","الطبقات لاستخدامها فى الملاحة"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","استخدام الملاحة في الطبقات <br/>) ولا يمكن استخدامها الا مع كتالوج نوع المدخلات 'يدوي')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","استخدام للتهيئة لايجاد منتج"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","الطريق لاستخدام فئات المنتجات عناوين"
"Use in advanced search","استخدم البحث المتقدم"
"Use in quick search","استخدم بحث سريع"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Values Required"
"Varchar","Varchar"
"View as","مشاهدة كا"
"Virtual Product","Virtual Product"
"Visibility","الظهور"
"Visible","ظاهر"
"Visible on Catalog Pages on Front-end","واضحة للعيان على صفحات دليل على الواجهة الاماميه"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","علامة مائية"
"Watermark Default Size","علامة مائية للحجم الافتراضي"
"Watermark Position","علامة مائية للموقع"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","موقع"
"Websites","مواقع"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","نعم"
"Yes/No","نعم/لا"
"You cannot delete this attribute","لا يمكنك حذف هذه الصفة"
"You cannot edit this attribute","لا يمكنك اضافة هذه الصفة"
"You cannot remove system attribute from this set.","لا يمكنك حذف نظام الصفة من هذا الموقع."
"You cannot update this attribute","لا يمكنك تحديث هذه الصفة"
"You have no items to compare.","لا توجد عندك عناصر للمقارنة."
"You may also be interested in the following product(s)","و يمكنك ان تكون مهمتم بالمنتجات التالية"
"Zoom In","تكبير"
"Zoom Out","تصغير"
"[GLOBAL]","[عالمي]"
"and","و"
"and above","و فوق"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","بالصفحة"
"products","products"
"px.","px."
"save","save"
"select all","اختار الجميع"
"unselect all","إلغاء تحديد الكل"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","خارطة الموقع"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
